Filename,Well ID,Plate ID,Stain Date,Plate Row,Plate Column,Control Row,Target Species,Specificity (CD),Specificity (non-CD),Isotype/Host Species,Clone,Fluorochrome,Parameter,Batch Number,ug/test,units,Sample Type,Sample Species,Sample Strain,Donor ID,spec1_range,spec2_range,spec3_range,gating_method,gating_argument
Specimen_001_A1_A01_002.fcs,A1,20191218-10299178-01,20191218-10299178,A,1,NA,Hu,NA,NA,NA,NA,NA,UV-515-A,NA,NA,NA,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_A2_A02_003.fcs,A2,20191218-10299178-01,20191218-10299178,A,2,NA,Hu,NA,mIgG1 k,Ms,X40,BUV496A,UV-515-A,118762,2,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_A3_A03_004.fcs,A3,20191218-10299178-01,20191218-10299178,A,3,NA,Hu,NA,mIgG1 k,Ms,X40,BUV496A,UV-515-A,118762,1,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_A4_A04_005.fcs,A4,20191218-10299178-01,20191218-10299178,A,4,NA,Hu,NA,mIgG1 k,Ms,X40,BUV496A,UV-515-A,118762,0.5,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_A5_A05_006.fcs,A5,20191218-10299178-01,20191218-10299178,A,5,NA,Hu,NA,mIgG1 k,Ms,X40,BUV496A,UV-515-A,118762,0.25,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_A6_A06_007.fcs,A6,20191218-10299178-01,20191218-10299178,A,6,NA,Hu,NA,mIgG1 k,Ms,X40,BUV496A,UV-515-A,118762,0.125,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_A7_A07_008.fcs,A7,20191218-10299178-01,20191218-10299178,A,7,NA,Hu,NA,mIgG1 k,Ms,X40,BUV496A,UV-515-A,118762,0.06,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_A8_A08_009.fcs,A8,20191218-10299178-01,20191218-10299178,A,8,NA,Hu,NA,mIgG1 k,Ms,X40,BUV496A,UV-515-A,118762,0.03,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_A9_A09_010.fcs,A9,20191218-10299178-01,20191218-10299178,A,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-40,20-30,24-42,sd,3
Specimen_001_A10_A10_011.fcs,A10,20191218-10299178-01,20191218-10299178,A,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-40,20-30,24-42,sd,3
Specimen_001_A11_A11_012.fcs,A11,20191218-10299178-01,20191218-10299178,A,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-40,20-30,24-42,sd,3
Specimen_001_A12_A12_013.fcs,A12,20191218-10299178-01,20191218-10299178,A,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-40,20-30,24-42,sd,3
Specimen_001_B1_B01_014.fcs,B1,20191218-10299178-01,20191218-10299178,B,1,NA,Hu,NA,NA,NA,NA,NA,UV-515-A,NA,NA,NA,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_B2_B02_015.fcs,B2,20191218-10299178-01,20191218-10299178,B,2,A,Hu,CD11b,NA,Hu,ICRF44,BUV496A,UV-515-A,8250509,2,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_B3_B03_016.fcs,B3,20191218-10299178-01,20191218-10299178,B,3,A,Hu,CD11b,NA,Hu,ICRF44,BUV496A,UV-515-A,8250509,1,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_B4_B04_017.fcs,B4,20191218-10299178-01,20191218-10299178,B,4,A,Hu,CD11b,NA,Hu,ICRF44,BUV496A,UV-515-A,8250509,0.5,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_B5_B05_018.fcs,B5,20191218-10299178-01,20191218-10299178,B,5,A,Hu,CD11b,NA,Hu,ICRF44,BUV496A,UV-515-A,8250509,0.25,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_B6_B06_019.fcs,B6,20191218-10299178-01,20191218-10299178,B,6,A,Hu,CD11b,NA,Hu,ICRF44,BUV496A,UV-515-A,8250509,0.125,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_B7_B07_020.fcs,B7,20191218-10299178-01,20191218-10299178,B,7,A,Hu,CD11b,NA,Hu,ICRF44,BUV496A,UV-515-A,8250509,0.06,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_B8_B08_021.fcs,B8,20191218-10299178-01,20191218-10299178,B,8,A,Hu,CD11b,NA,Hu,ICRF44,BUV496A,UV-515-A,8250509,0.03,ug/test,LWB,Hu,NA,DN42,30-40,20-30,24-42,sd,3
Specimen_001_B9_B09_022.fcs,B9,20191218-10299178-01,20191218-10299178,B,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-40,20-30,24-42,sd,3
Specimen_001_B10_B10_023.fcs,B10,20191218-10299178-01,20191218-10299178,B,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-40,20-30,24-42,sd,3
